S.No,Name of the Station,Month,Highest Maximum Temperature (in Celsius),Mean Maximum Temperature (in Celsius),Lowest Minimum Temperature (in Celsius),Mean Minimum Temperature (in Celsius),Percentage of Humidity at 08.30 Hours,Percentage of Humidity at 17.30 Hours
181,Kanniyakumari,June'2017,33.4,30.5,22.6,24.3,83,84
182,Kanniyakumari,July'2017,34.4,31.5,22.8,24.4,82,78
183,Kanniyakumari,August'2017,34.6,32.4,23,24.6,76,77
184,Kanniyakumari,September'2017,33.8,31.1,22.5,24.1,77,83
185,Kanniyakumari,October'2017,33.1,31.4,23.2,24.5,73,79
186,Kanniyakumari,November'2017,33.4,31.1,22.1,24.1,79,79
187,Kanniyakumari,December'2017,33.9,32.1,22.6,24.1,79,78
188,Kanniyakumari,January'2018,33.7,32,22,23.6,71,63
189,Kanniyakumari,February'2018,33.9,32.5,22,23.4,67,62
190,Kanniyakumari,March'2018,34.6,33,22.7,25.2,71,73
191,Kanniyakumari,April'2018,36.1,34,25,26.4,70,79
192,Kanniyakumari,May'2018,34.6,33,22.9,26.1,75,77
